id,name,type,description,value,attack,durability,effect_flat
mouse,mouse,food,,0,0,0,restore_health
rare_herb,rare_herb,ingredient,,0,0,0,crafting
poison_claw_recipe,poison_claw_recipe,recipe,,0,0,0,unlock_skill
ancient_stone_fragment,Ancient Stone Fragment,quest_item,A fragment of the ruins’ walls. Seems to hum faintly when touched.,0,0,0,
iron_claw_dagger,Iron Claw Dagger,weapon,"A short blade perfect for stealth attacks. Sharp, yet balanced.",0,5,50,
clan_banner,Clan Banner,decor,A small banner to mark territory or display allegiance.,10,0,0,
moonstone_amulet,Moonstone Amulet,accessory,A mysterious amulet that glows faintly at night.,0,0,0,luck:1;stealth:2
healing_ointment,Healing Ointment,consumable,A small salve that accelerates minor wound healing.,0,0,0,heal:15
silver_claw_charm,Silver Claw Charm,accessory,Enhances a cat's combat reflexes temporarily.,0,0,0,attack:3;speed:2
ancient_scroll,Ancient Scroll,quest_item,An old scroll containing knowledge of lost techniques.,0,0,0,
nightshade_bomb,Nightshade Bomb,tool,A small pouch of toxic nightshade; can be used for sabotage.,0,0,0,poison:5;stealth:1
