id,name,description,required_age,alignment,story_arc,story_stage,rewards_xp,rewards_skill_unlock,rewards_alignment_shift,rewards_alignment_choice,rewards_reputation_gain,npc_involved
lostclan_kit_intro,First Hunt,Learn to hunt with your clan warriors.,kit,good,,0,10,claw_attack,,,,Blazetalon;Olivesky
bloodclan_ivy_training,Necrotic Strike Practice,Train with Ivy to master the necrotic strike.,apprentice,evil,,0,15,necrotic_strike,,,,Ivy
neutral_clan_scouting,Border Scouting,Patrol the border and report any signs of tension.,apprentice,neutral,,0,8,,,,,Shadowfur
ivy_awaken_eyes,Mismatched Eyes Awakening,Discover the significance of Ivy's two-colored eyes and latent power.,kit,neutral,ivy,1,12,,,,,Coal;Silence
ivy_dream_scourge,Dream of Scourgestar,Ivy trains in a dream realm under Scourgestar's gaze.,kit,evil,ivy,2,18,necrotic_slash,,,,Scourgestar
ivy_fox_encounter,Fox Encounter,Survive the rabid fox attack and witness Stolenstar's regeneration.,kit,neutral,ivy,3,25,,evil,,,Stolenstar;Coal
ivy_bloodclan_initiation,Bloodclan Initiation,Enter Bloodclan camp and begin formal warrior training.,apprentice,evil,ivy,4,30,ferocious_roar,,,,Stolenstar
coal_loyalty_conflict,Coal's Loyalty,Coal questions Ivy's growing darkness; choose to reassure or dominate.,kit,neutral,coal,1,10,,,good;evil,,Coal;Ivy
custom_choose_path,Choose Your Path,A mentor offers divergent philosophies: Bright Waves guidance or Bloodclan power.,kit,neutral,custom_branch,1,14,,,good;evil,,Mentor
custom_good_trial,Trial of Mercy,Spare a defeated rogue to earn Bright Waves favor.,apprentice,good,custom_good,2,20,,,,Lostclan:5,Rogue
custom_evil_trial,Trial of Dominance,Intimidate and erode a rival with emerging dark power.,apprentice,evil,custom_evil,2,20,,,,Bloodclan:5,Rogue
